Year Released,Album Length,Album Name,Artist
2021,3229886,KHALED KHALED,DJ Khaled
2021,3229886,KHALED KHALED,DJ Khaled
2019,3274738,Father Of Asahd,DJ Khaled
2017,5254514,Grateful,DJ Khaled
2017,5253470,Grateful,DJ Khaled
2016,3482354,Major Key,DJ Khaled
2016,3482353,Major Key,DJ Khaled
2015,3766902,I Changed A Lot (Deluxe),DJ Khaled
2013,3214156,Suffering From Success,DJ Khaled
2013,3622822,Suffering From Success (Deluxe Version),DJ Khaled
2012,3579329,Kiss The Ring (Deluxe),DJ Khaled
2012,2912023,Kiss The Ring,DJ Khaled
2011,3227877,We The Best Forever,DJ Khaled
2010,2786314,Victory,DJ Khaled
2008,3137328,We Global,DJ Khaled
2007,2748971,We The Best,DJ Khaled
2018,3977456,QUAVO HUNCHO,Quavo
2017,2493789,"Huncho Jack, Jack Huncho",Huncho Jack
2020,2329781,Emergency Tsunami (Bonus Version),NAV
2020,1982493,Emergency Tsunami,NAV
2020,1982493,Emergency Tsunami,NAV
2020,5262511,Good Intentions (Brown Boy 2 Deluxe Version),NAV
2020,2996289,Good Intentions,NAV
2019,4250102,Bad Habits (Deluxe),NAV
2019,4250075,Bad Habits (Deluxe),NAV
2018,2408128,RECKLESS,NAV
2017,3326796,Perfect Timing,NAV
2017,3326792,Perfect Timing,NAV
2017,2030956,NAV,NAV
2017,2030957,NAV,NAV
2022,3152558,"Honestly, Nevermind",Drake
2022,3152558,"Honestly, Nevermind",Drake
2021,5173117,Certified Lover Boy,Drake
2021,5173116,Certified Lover Boy,Drake
2020,2995371,Dark Lane Demo Tapes,Drake
2019,4425273,Care Package,Drake
2019,4437727,So Far Gone,Drake
2018,5426391,Scorpion,Drake
2017,4899126,More Life,Drake
2016,4875485,Views,Drake
2015,2435958,What A Time To Be Alive,Drake
2015,2435958,What A Time To Be Alive,Drake
2015,4129729,If You're Reading This It's Too Late,Drake
2013,4076943,Nothing Was The Same (Deluxe),Drake
2013,3568770,Nothing Was The Same,Drake
2011,5005808,Take Care (Deluxe),Drake
2010,3668663,Thank Me Later,Drake
2009,4437710,So Far Gone,Drake
2022,5011503,7220 (Deluxe),Lil Durk
2022,2875017,7220 (Reloaded),Lil Durk
2022,2735484,7220,Lil Durk
2022,2877727,7220 (Reloaded),Lil Durk
2021,3592852,The Voice of the Heroes,Lil Baby
2021,4323394,The Voice (Deluxe),Lil Durk
2020,2487191,The Voice,Lil Durk
2020,3391178,Just Cause Y'all Waited 2 (Deluxe),Lil Durk
2020,2389779,Just Cause Y'all Waited 2,Lil Durk
2019,2503965,Family Over Everything,Lil Durk
2019,2855562,Love Songs 4 the Streets 2,Lil Durk
2018,4259857,Signed To The Streets 3,Lil Durk
2018,2470267,Just Cause Y'all Waited,Lil Durk
2017,2422029,Bloodas,Tee Grizzley
2017,1867483,Signed to the Streets 2.5,Lil Durk
2017,1814392,Love Songs for the Streets,Lil Durk
2017,2520173,They Forgot,Lil Durk
2016,2721967,Lil Durk 2X (Deluxe),Lil Durk
2015,3568136,300 Days 300 Nights,Lil Durk
2015,2471969,Remember My Name (Deluxe),Lil Durk
2015,2030290,Remember My Name,Lil Durk
2014,3870084,Signed to the Streets 2,Lil Durk
2013,3086987,Signed to the Streets,Lil Durk
2012,3195945,I'm Still a Hitta,Lil Durk
2012,3183563,Life Ain't No Joke,Lil Durk
2021,5417341,Hall of Fame 2.0,Polo G
2021,3242942,Hall of Fame,Polo G
2021,3254019,Hall of Fame,Polo G
2020,2830134,THE GOAT,Polo G
2019,2473209,Die A Legend,Polo G
2021,3600411,We Love You Tecca 2 (Deluxe),Lil Tecca
2021,2858241,We Love You Tecca 2,Lil Tecca
2020,2741460,Virgo World,Lil Tecca
2019,2574474,We Love You Tecca,Lil Tecca
2019,2574474,We Love You Tecca,Lil Tecca
2021,2976549,Trip At Knight (Complete Edition),Trippie Redd
2021,2960813,Trip At Knight (Complete Edition),Trippie Redd
2021,6823477,Pegasus: Neon Shark vs Pegasus Presented By Travis Barker (Deluxe),Trippie Redd
2020,4852246,Pegasus (Spooky Sounds Edition),Trippie Redd
2020,4463123,Pegasus,Trippie Redd
2020,4982357,A Love Letter To You 4 (Deluxe),Trippie Redd
2019,3548361,A Love Letter To You 4,Trippie Redd
2019,2171515,!,Trippie Redd
2018,2626781,A Love Letter To You 3,Trippie Redd
2018,2803200,LIFE'S A TRIP,Trippie Redd
2017,2880301,A Love Letter To You 2,Trippie Redd
2017,2165037,A Love Letter To You,Trippie Redd
2022,3932817,I NEVER LIKED YOU,Future
2022,2923446,I NEVER LIKED YOU,Future
2022,3932817,I NEVER LIKED YOU,Future
2022,2923446,I NEVER LIKED YOU,Future
2022,3905700,I NEVER LIKED YOU (Instrumental),Future
2020,4969309,Pluto x Baby Pluto (Deluxe),Future
2020,3269252,Pluto x Baby Pluto,Future
2020,4964979,Pluto x Baby Pluto (Deluxe),Future
2020,3269252,Pluto x Baby Pluto,Future
2020,4215093,High Off Life,Future
2020,4215093,High Off Life,Future
2019,1217105,SAVE ME,Future
2019,3718236,Future Hndrxx Presents: The WIZRD,Future
2018,2976502,Future & Juice WRLD Present... WRLD ON DRUGS,Future
2018,1909689,BEASTMODE 2,Future
2018,4649306,SUPERFLY (Original Motion Picture Soundtrack),Future
2017,2449606,SUPER SLIMEY,Future
2017,4600471,HNDRXX,Future
2017,4598890,HNDRXX,Future
2017,4460482,FUTURE,Future
2017,4246396,FUTURE,Future
2016,2544799,EVOL,Future
2016,2392890,Purple Reign,Future
2015,5191840,DS2 (Deluxe),Future
2015,1303038,DS2 - Track by Track Commentary,Future
2015,3642339,DS2 (Deluxe),Future
2015,1400184,56 Nights,Future
2015,1672377,Beast Mode (Instrumentals),Future
2015,1498784,Beast Mode,Future
2014,2787343,Monster,Future
2014,4010381,Honest,Future
2014,4010741,Honest,Future
2022,4830165,The Last Slimeto,YoungBoy Never Broke Again
2022,4830165,The Last Slimeto,YoungBoy Never Broke Again
2022,4830165,The Last Slimeto (Instrumental),YoungBoy Never Broke Again
2022,2021866,BETTER THAN YOU,DaBaby
2022,3841713,Colors,YoungBoy Never Broke Again
2022,3841713,Colors,YoungBoy Never Broke Again
2021,2270131,From The Bayou,YoungBoy Never Broke Again
2021,2270131,From The Bayou,YoungBoy Never Broke Again
2021,3765443,"Sincerely, Kentrell",YoungBoy Never Broke Again
2021,3765519,"Sincerely, Kentrell",YoungBoy Never Broke Again
2021,3817278,"Sincerely, Kentrell (Instrumental)",YoungBoy Never Broke Again
2021,1776097,The Last Slimeto Sampler,YoungBoy Never Broke Again
2020,2397011,Nobody Safe,Rich The Kid
2020,2413291,Until I Return,YoungBoy Never Broke Again
2020,3529877,Top,YoungBoy Never Broke Again
2020,3542546,Top,YoungBoy Never Broke Again
2020,2779043,38 Baby 2,YoungBoy Never Broke Again
2020,2779121,38 Baby 2,YoungBoy Never Broke Again
2020,2283404,"Still Flexin, Still Steppin",YoungBoy Never Broke Again
2019,3303859,AI YoungBoy 2,YoungBoy Never Broke Again
2019,3303859,AI YoungBoy 2,YoungBoy Never Broke Again
2018,2004193,Realer,YoungBoy Never Broke Again
2018,1912012,Decided,YoungBoy Never Broke Again
2018,2727614,4Respect 4Freedom 4Loyalty 4WhatImportant,YoungBoy Never Broke Again
2018,3479361,Until Death Call My Name (Reloaded),YoungBoy Never Broke Again
2018,1277449,Master the Day of Judgement,YoungBoy Never Broke Again
2018,2370994,Until Death Call My Name,YoungBoy Never Broke Again
2017,2585748,Fed Baby’s,Moneybagg Yo
2017,2668704,AI YoungBoy,YoungBoy Never Broke Again
2017,1472195,Ain't Too Long,YoungBoy Never Broke Again
2016,2787846,38 Baby,YoungBoy Never Broke Again
2016,1569000,Mind of a Menace 3 (Reloaded),YoungBoy Never Broke Again
2016,2013051,Before I Go (Reloaded),YoungBoy Never Broke Again
2020,6303177,Eternal Atake (Deluxe) - LUV vs. The World 2,Lil Uzi Vert
2020,3733776,Eternal Atake,Lil Uzi Vert
2017,4172312,Luv Is Rage 2 (Deluxe),Lil Uzi Vert
2017,3380154,Luv Is Rage 2,Lil Uzi Vert
2017,3380176,Luv Is Rage 2,Lil Uzi Vert
2016,1953353,The Perfect LUV Tape,Lil Uzi Vert
2016,2032417,Lil Uzi Vert vs. The World,Lil Uzi Vert
2015,2595859,Luv Is Rage,Lil Uzi Vert
2021,3047354,LIVE LIFE FAST,Roddy Ricch
2021,3047343,LIVE LIFE FAST,Roddy Ricch
2019,2608055,Please Excuse Me for Being Antisocial,Roddy Ricch
2018,2102202,Feed Tha Streets II,Roddy Ricch
2021,1707045,Sleazy,SleazyWorld Go
2020,2211990,The Sleazy Way,SleazyWorld Go
2020,1760858,Big Sleaz,SleazyWorld Go
2022,4567059,Gangsta Art,Yo Gotti
2022,4567059,Gangsta Art,Yo Gotti
2021,4339805,A Gangsta’s Pain: Reloaded,Moneybagg Yo
2021,3090501,A Gangsta’s Pain,Moneybagg Yo
2020,2306116,Code Red,Moneybagg Yo
2020,3697669,Time Served (Deluxe),Moneybagg Yo
2020,2474093,Time Served,Moneybagg Yo
2019,2427210,43VA HEARTLESS,Moneybagg Yo
2018,2624597,RESET,Moneybagg Yo
2018,1420150,Bet On Me,Moneybagg Yo
2018,3052921,2 Heartless,Moneybagg Yo
2018,2992228,Money Bags From The Trap,Moneybagg Yo
2017,2660954,Federal 3X,Moneybagg Yo
2017,2152312,Heartless,Moneybagg Yo
2017,2153174,Heartless,Moneybagg Yo
2016,3674474,2 Federal,Moneybagg Yo
2016,1664674,All Gas No Brakes,Moneybagg Yo
2016,3718731,ELO: Everybody Lives On,Moneybagg Yo
2016,4417798,Federal Reloaded,Moneybagg Yo
2022,6098310,So Icy Gang: The ReUp,Gucci Mane
2021,2718637,So Icy Christmas,Gucci Mane
2021,5887305,So Icy Boyz (Deluxe),Gucci Mane
2021,2942869,So Icy Boyz,Gucci Mane
2021,2942869,So Icy Boyz,Gucci Mane
2021,5875671,So Icy Boyz Instrumental,Gucci Mane
2021,3073038,Ice Daddy,Gucci Mane
2021,3073038,Ice Daddy,Gucci Mane
2020,4819907,Gucci Mane Presents: So Icy Summer,Gucci Mane
2019,2573706,East Atlanta Santa 3,Gucci Mane
2019,2572721,East Atlanta Santa 3,Gucci Mane
2019,2168475,Woptober II,Gucci Mane
2019,2166963,Woptober II,Gucci Mane
2019,3482405,Delusions of Grandeur,Gucci Mane
2018,3045879,Evil Genius,Gucci Mane
2017,1841897,El Gato: The Human Glacier,Gucci Mane
2017,3672298,Mr. Davis,Gucci Mane
2017,3670076,Mr. Davis,Gucci Mane
2017,2250723,Droptopwop,Gucci Mane
2016,2579415,The Return of East Atlanta Santa,Gucci Mane
2016,2610302,WOPTOBER,Gucci Mane
2016,3140771,Everybody Looking,Gucci Mane
2016,3140771,Everybody Looking,Gucci Mane
2016,2831091,Birds of a Feather 2,Don Mega
2016,7170736,Meal Ticket,Gucci Mane
2016,3527875,"Gucci Vs. C-Note, 2",Gucci Mane
2016,11705335,Greatest Mixtape Hits,Gucci Mane
2016,5778194,El Chapo's Home,Gucci Mane
2015,2308951,East Atlanta Santa 2,Gucci Mane
2015,3798709,"Wilt Chamberlain, Pt. 4",Gucci Mane
2015,4083314,"Wilt Chamberlain, Pt. 2",Gucci Mane
2015,4645625,"Wilt Chamberlain, Pt. 6",Gucci Mane
2015,4533961,Kitchen Talk,Gucci Mane
2015,4436914,Goochsomnia,Gucci Mane
2015,4526745,So Icey Boy 2,Gucci Mane
2021,4684601,PAPER ROUTE iLLUMINATi,Young Dolph
2021,4679973,PAPER ROUTE iLLUMINATi,Young Dolph
2021,3713613,Dum and Dummer 2,Young Dolph
2021,4299015,Rich Slave (Deluxe),Young Dolph
2020,2692033,Rich Slave,Young Dolph
2019,3629952,Dum and Dummer,Young Dolph
2018,2683754,Role Model,Young Dolph
2017,2031251,Thinking Out Loud,Young Dolph
2017,2013269,Tracking Numbers,Berner
2017,1886957,Bulletproof,Young Dolph
2017,1884637,Bulletproof,Young Dolph
2017,2267307,Gelato,Young Dolph
2017,2263843,Gelato,Young Dolph
2016,2638544,Rich Crack Baby,Young Dolph
2016,3194847,Bosses & Shooters,Young Dolph
2016,2083473,King of Memphis,Young Dolph
2015,2494935,16,Young Dolph
2015,2019941,Shittin On The Industry,Young Dolph
2015,2454640,16 Zips,Young Dolph
2015,3194647,Felix Brothers,Gucci Mane
2015,2456018,BagMen,Peewee Longway
2015,2786082,High Class Street Music 5: The Plug Best Friend,Young Dolph
2014,3145267,High Class Street Music 4: American Gangster,Young Dolph
2014,2185477,Cross Country Trappin,Young Dolph
2013,3273240,South Memphis Kingpin,Young Dolph
2013,3398011,High Class Street Music 3: Trappin' out a Mansion,Young Dolph
2013,2916805,East Atlanta Memphis,Gucci Mane
2012,4317951,Blue Magic,Young Dolph
2012,4766130,A Time 2 Kill,Young Dolph
2011,3721353,High Class Street Music 2: Hustler's Paradise,Young Dolph
2011,4445483,High Class Street Music,Young Dolph
2010,3766446,Welcome 2 Dolph World,Young Dolph
2020,1300467,Oh The Places You’ll Go,Doechii
2019,844338,"Coven Music Session, Vol. 1",Doechii
2020,4885512,My Turn (Deluxe),Lil Baby
2020,4632784,My Turn (Deluxe),Lil Baby
2020,3652848,My Turn,Lil Baby
2018,2496874,Street Gossip,Lil Baby
2018,2332540,Drip Harder,Lil Baby
2018,3082971,Harder Than Ever,Lil Baby
2017,2932435,Too Hard,Lil Baby
2017,1744557,2 The Hard Way,Lil Baby
2017,2470150,Harder Than Hard,Lil Baby
2017,2395130,Perfect Timing,Lil Baby
2022,4436548,CM10: Free Game (Deluxe),Yo Gotti
2022,4436287,CM10: Free Game (Deluxe),Yo Gotti
2022,3885928,CM10: Free Game (Side B),Yo Gotti
2022,1934128,CM10: Free Game,Yo Gotti
2022,3885928,CM10: Free Game (Side B),Yo Gotti
2022,1934128,CM10: Free Game,Yo Gotti
2020,3155962,Untrapped,Yo Gotti
2017,2693410,I Still Am,Yo Gotti
2017,1416790,Gotti Made-It,Yo Gotti
2016,2496716,White Friday (CM9),Yo Gotti
2016,3369161,The Art of Hustle (Deluxe),Yo Gotti
2015,2007011,CM8: Any Hood America,Yo Gotti
2015,3955273,Cocaine Muzik,Yo Gotti
2015,4157069,I Told U So,Yo Gotti
2015,2251301,January 10th,Yo Gotti
2015,2864913,Cocaine Muzik 4: Gangsta Grillz,Yo Gotti
2015,1709606,Nov. 19th,Yo Gotti
2015,4115804,CM6: Gangsta of the Year,Yo Gotti
2015,2956437,Cocaine Muzik 4.5 (Da Documentary),Yo Gotti
2015,2169412,Cocaine Muzik 5: White Friday,Yo Gotti
2015,3830180,CM7: The World Is Yours,Yo Gotti
2015,2433428,Cocaine Muzik 3,Yo Gotti
2015,3058071,Before Beef,Yo Gotti
2013,2974036,I Am,Yo Gotti
2013,2423582,Mo Thugs Presents: In the Mix by Yo Gotti,Yo Gotti
2012,2988222,Live From The Kitchen,Yo Gotti
2012,2988222,Live From The Kitchen,Yo Gotti
2011,4793381,Definition Of A Trap Nigga,Yo Gotti
2010,5484461,Life,Yo Gotti
2009,2686958,CM2,Yo Gotti
2009,2629743,CM2 (Clean),Yo Gotti
2008,3357753,Feed The Streets: Special Delivery,Yo Gotti
2022,4725266,Mr. Morale & The Big Steppers,Kendrick Lamar
2022,4725266,Mr. Morale & The Big Steppers,Kendrick Lamar
2018,2958567,Black Panther The Album Music From And Inspired By,Kendrick Lamar
2018,2958567,Black Panther The Album Music From And Inspired By,Kendrick Lamar
2017,3300969,DAMN. COLLECTORS EDITION.,Kendrick Lamar
2017,3300969,DAMN.,Kendrick Lamar
2017,3300969,DAMN.,Kendrick Lamar
2016,2049102,untitled unmastered.,Kendrick Lamar
2015,4739609,To Pimp A Butterfly,Kendrick Lamar
2012,5252649,"good kid, m.A.A.d city (Deluxe)",Kendrick Lamar
2012,5531449,"good kid, m.A.A.d city (Deluxe)",Kendrick Lamar
2012,4380263,"good kid, m.A.A.d city",Kendrick Lamar
2011,3272570,Section.80,Kendrick Lamar
2010,3217710,Overly Dedicated,Kendrick Lamar
2022,2429699,23,Central Cee
2021,2312475,Wild West,Central Cee
2021,5109172,SoulFly (Deluxe Version),Rod Wave
2021,3421388,SoulFly,Rod Wave
2020,4299321,Pray 4 Love (Deluxe),Rod Wave
2020,2317781,Pray 4 Love,Rod Wave
2019,2391750,Ghetto Gospel,Rod Wave
2019,1997176,PTSD,Rod Wave
2018,1895329,Hunger Games 3,Rod Wave
2018,1676277,Hunger Games 2,Rod Wave
2018,2898235,Invasion of Privacy,Cardi B
2018,2898235,Invasion of Privacy,Cardi B
2017,1711507,Gangsta Bitch Music Vol. 2,Cardi B
2016,1997134,Gangsta Bitch Music Vol 1,Cardi B
2021,2702897,Something for Thee Hotties,Megan Thee Stallion
2021,2700760,Something for Thee Hotties,Megan Thee Stallion
2020,2990683,Good News,Megan Thee Stallion
2020,2990683,Good News,Megan Thee Stallion
2020,1975383,Suga (Chopnotslop Remix),Megan Thee Stallion
2020,1473024,Suga,Megan Thee Stallion
2020,1473024,Suga,Megan Thee Stallion
2019,2409111,Fever,Megan Thee Stallion
2019,2413533,Fever,Megan Thee Stallion
2018,1816152,Tina Snow,Megan Thee Stallion
2018,1746517,Make It Hot (ChopNotSlop Remix),Megan Thee Stallion
2017,1435403,Make It Hot,Megan Thee Stallion
2020,2854978,Hitkidd For President: 2020,Hitkidd
2019,1536049,Masterplan,Hitkidd
2018,2515691,Mastermind,Hitkidd
2022,2747893,Rebel vs. Rowdy,Rowdy Rebel
2022,2782170,Rebel vs. Rowdy,Rowdy Rebel
2016,3365583,Shmoney Keeps Calling,Rowdy Rebel
2015,1423345,Remain Silent,Rowdy Rebel
2020,3559414,Demons R Us,Doe Boy
2020,3572131,Demons R Us,Doe Boy
2020,1197897,Blood On The Hills,Pyrex
2018,2808133,Swervo,G Herbo
2018,3713164,Trap Ye Season 2,Southside
2022,2813574,A Kid Named Cudi,Kid Cudi
2022,4878317,The Boy Who Flew To The Moon (Vol. 1),Kid Cudi
2020,3504154,Man On The Moon III: The Chosen,Kid Cudi
2018,1432344,KIDS SEE GHOSTS,KIDS SEE GHOSTS
2018,1432307,KIDS SEE GHOSTS,KIDS SEE GHOSTS
2016,5219221,"Passion, Pain & Demon Slayin'",Kid Cudi
2015,5494017,Speedin' Bullet 2 Heaven,Kid Cudi
2014,2473784,KiD CuDi presents SATELLITE FLIGHT: The journey to Mother Moon,Kid Cudi
2014,2473783,KiD CuDi presents SATELLITE FLIGHT: The journey to Mother Moon,Kid Cudi
2013,4252915,Indicud,Kid Cudi
2013,4252915,Indicud,Kid Cudi
2010,3723981,Man On The Moon II: The Legend Of Mr. Rager,Kid Cudi
2010,3723995,Man On The Moon II: The Legend Of Mr. Rager,Kid Cudi
2009,3515955,Man On The Moon: The End Of Day,Kid Cudi
2009,4088741,Man On The Moon: The End Of Day (Deluxe),Kid Cudi
2009,3515969,Man On The Moon: The End Of Day,Kid Cudi
2021,3693958,Still Sleep? (Deluxe),Sleepy Hallow
2021,2049663,Still Sleep?,Sleepy Hallow
2020,1679422,Sleepy Hallow Presents: Sleepy For President,Sleepy Hallow
2019,1988489,DON'T SLEEP,Sleepy Hallow
2019,1995689,DON'T SLEEP,Sleepy Hallow
2022,2704559,Come Home The Kids Miss You,Jack Harlow
2022,2704051,Come Home The Kids Miss You,Jack Harlow
2020,2556937,Thats What They All Say,Jack Harlow
2020,2556937,Thats What They All Say,Jack Harlow
2020,999714,Sweet Action,Jack Harlow
2020,999714,Sweet Action,Jack Harlow
2019,2063644,Confetti,Jack Harlow
2019,2063644,Confetti,Jack Harlow
2018,2440956,Loose,Jack Harlow
2017,2071826,Gazebo,Jack Harlow
2016,1537829,18,Jack Harlow
2022,2973724,Twelve Carat Toothache (Deluxe),Post Malone
2022,2598578,Twelve Carat Toothache,Post Malone
2019,3064235,Hollywood's Bleeding,Post Malone
2018,3854045,beerbongs & bentleys,Post Malone
2016,7678798,Stoney (Complete Edition),Post Malone
2016,4102926,Stoney (Deluxe),Post Malone
2022,3216075,B.I.B.L.E.,Fivio Foreign
2022,3085178,B.I.B.L.E.,Fivio Foreign
2020,1454146,800 BC,Fivio Foreign
2020,1454114,800 BC,Fivio Foreign
2021,7865236,Donda (Deluxe),Kanye West
2021,6539171,Donda,Kanye West
2019,1624134,JESUS IS KING,Kanye West
2018,1423757,ye,Kanye West
2016,3960077,The Life Of Pablo,Kanye West
2016,3593816,The Life Of Pablo,Kanye West
2013,2404623,Yeezus,Kanye West
2011,4073915,Watch The Throne (Deluxe),JAY-Z
2011,2777782,Watch The Throne,JAY-Z
2010,4121074,My Beautiful Dark Twisted Fantasy,Kanye West
2010,4121701,My Beautiful Dark Twisted Fantasy,Kanye West
2008,3125170,808s & Heartbreak,Kanye West
2007,3269262,Graduation,Kanye West
2005,4202219,Late Registration,Kanye West
2004,4583419,The College Dropout,Kanye West
2022,3563490,Khaza,Kevin Gates
2021,2480309,Only The Generals Part II,Kevin Gates
2020,3564101,Khaza,Kevin Gates
2019,2954743,I'm Him,Kevin Gates
2019,2954743,I'm Him,Kevin Gates
2018,3499812,Luca Brasi 3,Kevin Gates
2017,2779386,By Any Means 2,Kevin Gates
2016,1755914,Murder for Hire 2,Kevin Gates
2016,3812450,Islah (Deluxe),Kevin Gates
2016,1755914,Murder for Hire 2,Kevin Gates
2014,3799238,Luca Brasi 2: Gangsta Grillz,Kevin Gates
2014,3349761,By Any Means,Kevin Gates
2013,2612253,Stranger Than Fiction,Kevin Gates
2013,1876036,Luca Brasi Story,Kevin Gates
2012,4142239,Make 'em Believe,Kevin Gates
2011,3200920,"""I Don't Know What To Call It"" Vol. 1",Kevin Gates
2011,1694481,Drug Dealer Potential,Kevin Gates
2010,3287909,All In,Kevin Gates
2009,3416303,Behind Enemy Lines,Kevin Gates
2017,2996057,Hidden Figures - Original Score,Hans Zimmer
2014,3048690,G I R L,Pharrell Williams
2006,7491204,In My Mind (Deluxe Edition),Pharrell Williams
2006,3865210,In My Mind,Pharrell Williams
2021,3821220,The Melodic Blue,Baby Keem
2021,3221386,The Melodic Blue,Baby Keem
2019,2045065,DIE FOR MY BITCH,Baby Keem
2018,1320547,The Sound of Bad Habit,Baby Keem
2019,1585482,Keep in Touch,Armani White
